outlier,alcohol,proline
1,13.29,1270.0
1,14.3,1280.0
1,13.68,990.0
1,14.06,1295.0
1,14.22,970.0
1,14.1,1060.0
1,13.86,1045.0
1,13.05,1105.0
1,14.2,1450.0
1,13.77,1375.0
0,12.37,520.0
0,12.33,680.0
0,12.64,450.0
0,13.67,630.0
0,12.37,420.0
0,12.17,355.0
0,12.37,678.0
0,13.11,502.0
0,12.37,510.0
0,13.34,750.0
0,12.21,718.0
0,12.29,870.0
0,13.86,410.0
0,13.49,472.0
0,12.99,985.0
0,11.96,886.0
0,11.66,428.0
0,13.03,392.0
0,11.84,500.0
0,12.33,750.0
0,12.7,463.0
0,12.0,278.0
0,12.72,714.0
0,12.08,630.0
0,13.05,515.0
0,11.84,520.0
0,12.67,450.0
0,12.16,495.0
0,11.65,562.0
0,11.64,680.0
0,12.08,625.0
0,12.08,480.0
0,12.0,450.0
0,12.69,495.0
0,12.29,290.0
0,11.62,345.0
0,12.47,937.0
0,11.81,625.0
0,12.29,428.0
0,12.37,660.0
0,12.29,406.0
0,12.08,710.0
0,12.6,562.0
0,12.34,438.0
0,11.82,415.0
0,12.51,672.0
0,12.42,315.0
0,12.25,510.0
0,12.72,488.0
0,12.22,312.0
0,11.61,680.0
0,11.46,562.0
0,12.52,325.0
0,11.76,607.0
0,11.41,434.0
0,12.08,385.0
0,11.03,407.0
0,11.82,495.0
0,12.42,345.0
0,12.77,372.0
0,12.0,564.0
0,11.45,625.0
0,11.56,465.0
0,12.42,365.0
0,13.05,380.0
0,11.87,380.0
0,12.07,378.0
0,12.43,352.0
0,11.79,466.0
0,12.37,342.0
0,12.04,580.0
0,12.86,630.0
0,12.88,530.0
0,12.81,560.0
0,12.7,600.0
0,12.51,650.0
0,12.6,695.0
0,12.25,720.0
0,12.53,515.0
0,13.49,580.0
0,12.84,590.0
0,12.93,600.0
0,13.36,780.0
0,13.52,520.0
0,13.62,550.0
0,12.25,855.0
0,13.16,830.0
0,13.88,415.0
0,12.87,625.0
0,13.32,650.0
0,13.08,550.0
0,13.5,500.0
0,12.79,480.0
0,13.11,425.0
0,13.23,675.0
0,12.58,640.0
0,13.17,725.0
0,13.84,480.0
0,12.45,880.0
0,14.34,660.0
0,13.48,620.0
0,12.36,520.0
0,13.69,680.0
0,12.85,570.0
0,12.96,675.0
0,13.78,615.0
0,13.73,520.0
0,13.45,695.0
0,12.82,685.0
0,13.58,750.0
0,13.4,630.0
0,12.2,510.0
0,12.77,470.0
0,14.16,660.0
0,13.71,740.0
0,13.4,750.0
0,13.27,835.0
0,13.17,840.0
0,14.13,560.0
